Brenda Alves, 43815092698, -23.89639, -46.4533912
Arthur Borges, 39041687548, -23.7139336, -46.3866612
Lara Abreu, 26591780386, -23.948314, -46.81713
Aylla Fogaça, 54093871639, -23.6611337, -46.6485309
Laís Pires, 95380617484, -23.6027562, -46.4269343
Carlos Eduardo Garcia, 47512869355, -23.9334013, -46.4198967
Dra. Ana Sophia Pereira, 28317594041, -23.6246211, -46.6965214
Lunna Vargas, 03962857400, -23.984942, -46.8309097
Luara Cunha, 76912845355, -23.7141334, -46.4132909
Dra. Mariane Pacheco, 65314708280, -23.4535767, -46.6062057
Emanuel Vieira, 61934725099, -23.9996404, -46.4955171
Bruna Rodrigues, 84502319651, -23.4654955, -46.4677025
Dra. Julia Montenegro, 28165970321, -23.794174, -46.738734
Vitor Hugo Vasconcelos, 80539721441, -23.8894075, -46.4093868
Isaque Nunes, 19760485320, -23.8390256, -46.7565051
Eloah da Luz, 86345129755, -23.9020548, -46.4425588
Stella Machado, 13802695470, -23.5139209, -46.5936606
Brayan Santos, 03192678577, -23.6964169, -46.4091869
Vitor Hugo Cardoso, 97368510286, -23.7682495, -46.4898529
Marina Fogaça, 69785043193, -23.407714, -46.7859974
Sra. Bianca da Cruz, 39718624031, -23.8795748, -46.4287726
Pedro Miguel Novaes, 10879534214, -23.4208535, -46.3678143
Murilo Araújo, 26039851406, -23.950172, -46.6137697
Gabriel da Rocha, 30852746180, -23.5307898, -46.5814457
Vitória Castro, 08167942350, -23.7187697, -46.8305227
Bárbara Nunes, 30195427823, -23.7205312, -46.466909
Luara da Costa, 46258731007, -23.8296643, -46.700894
Raul Pinto, 91847620558, -23.7461303, -46.6533147
Joaquim Freitas, 42769805185, -23.8098103, -46.6377886
Bella Carvalho, 41859726011, -23.6231316, -46.7260737
Sra. Gabrielly Rodrigues, 48720531923, -23.9172029, -46.6369918
Lucas Gabriel Vargas, 24953867092, -23.9875807, -46.5059847
Breno Sales, 28069413778, -23.5023474, -46.4311316
Leandro Fonseca, 05381927630, -23.3987668, -46.5653888
Daniela da Costa, 29601834796, -23.3646513, -46.4494119
Emanuel Viana, 16083945224, -23.7312574, -46.7834386
Ian Câmara, 03627951859, -23.590349, -46.7289918
Zoe Farias, 01487293631, -23.6813132, -46.4881823
Dr. Pedro Henrique Pereira, 81649207549, -23.842924, -46.6790867
Vicente Nascimento, 35608249747, -23.9210918, -46.6991654
Sra. Sofia das Neves, 65982410306, -23.4738329, -46.7473007
Maria Helena Rocha, 24680975130, -23.4287079, -46.7545219
Luna Martins, 79348106287, -23.3860298, -46.5674362
Isaac Rocha, 43810567957, -23.6694517, -46.5007517
Maria Vitória Pires, 93687142078, -23.5637168, -46.445481
Otávio Câmara, 28704165390, -23.3706133, -46.7123708
Vitória Novais, 95748632128, -23.7253863, -46.5851464
Renan Machado, 43967815200, -23.7689865, -46.537939
João Pedro da Costa, 45890167375, -23.5615983, -46.7593758
Srta. Hadassa Azevedo, 69543708193, -23.8216993, -46.6374878
Alícia Teixeira, 96702531877, -23.5206762, -46.5415165
Hellena da Mata, 67032914896, -23.4661854, -46.590109
Yasmin Alves, 60153798203, -23.8415599, -46.5985211
Mateus Duarte, 37529681095, -23.4314549, -46.5681976
Allana Souza, 80517943204, -23.7313812, -46.6094378
Antônio Pinto, 23985016712, -23.4229689, -46.491309
Sr. Danilo Vasconcelos, 24180937514, -23.5971613, -46.740869
Joaquim Caldeira, 41029367850, -23.9032753, -46.4849813
Otto Mendonça, 16573980484, -23.9469791, -46.6976486
Zoe Vasconcelos, 79685421030, -23.5520357, -46.3774025
João Lucas Machado, 37620985140, -23.6293231, -46.4477447
Luiz Gustavo da Luz, 54870619202, -23.6238361, -46.5717275
Sra. Rebeca Novais, 37890524188, -23.7781663, -46.7308108
Srta. Lorena Ribeiro, 95746238155, -23.8885009, -46.5607372
Dr. João Gabriel das Neves, 43157209841, -23.9611304, -46.6048312
Henrique Sousa, 74801253644, -23.7080789, -46.645108
Anthony Gabriel Santos, 82406793583, -23.6764267, -46.7419707
Rebeca Caldeira, 04736219599, -23.9069531, -46.4875951
Bruna Azevedo, 67145089300, -23.5823172, -46.6440057
Josué Campos, 86394751219, -23.6010709, -46.5508293
Mariane das Neves, 90167523821, -23.6321051, -46.4070762
Isaque Cavalcanti, 81203549660, -23.6809014, -46.5620226
João Pedro Santos, 47158263053, -23.6109487, -46.7159361
